Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port
KM AWU,VOY_14_2025,1,KUMAI,2025-08-07 03:00:00,34.0,SURABAYA
KM AWU,VOY_14_2025,2,SURABAYA,2025-08-09 17:00:00,7.0,BENOA
KM AWU,VOY_14_2025,3,BENOA,2025-08-11 03:00:00,6.0,BIMA
KM AWU,VOY_14_2025,4,BIMA,2025-08-12 06:00:00,2.0,WAINGAPU
KM AWU,VOY_14_2025,5,WAINGAPU,2025-08-12 22:00:00,3.0,ENDE
KM AWU,VOY_14_2025,6,ENDE,2025-08-13 10:00:00,2.0,KUPANG
KM AWU,VOY_14_2025,7,KUPANG,2025-08-14 01:00:00,5.0,KALABAHI
KM AWU,VOY_14_2025,8,KALABAHI,2025-08-14 19:00:00,3.0,KUPANG
KM AWU,VOY_14_2025,9,KUPANG,2025-08-15 11:00:00,5.0,ENDE
KM AWU,VOY_14_2025,10,ENDE,2025-08-16 05:00:00,2.0,WAINGAPU
KM AWU,VOY_14_2025,11,WAINGAPU,2025-08-16 16:00:00,3.0,BIMA
KM AWU,VOY_14_2025,12,BIMA,2025-08-17 09:00:00,2.0,BENOA
KM AWU,VOY_14_2025,13,BENOA,2025-08-18 08:00:00,3.0,SURABAYA
KM AWU,VOY_14_2025,14,SURABAYA,2025-08-19 15:00:00,7.0,KUMAI
KM AWU,VOY_14_2025,15,KUMAI,2025-08-21 03:00:00,0.0,
KM KELUD,VOY_30_2025,1,TANJUNG PRIOK,2025-08-01 04:00:00,17.0,BATAM
KM KELUD,VOY_30_2025,2,BATAM,2025-08-03 05:00:00,5.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_30_2025,3,TANJUNG BALAI KARIMUN,2025-08-03 13:00:00,1.0,BELAWAN
KM KELUD,VOY_30_2025,4,BELAWAN,2025-08-04 13:00:00,24.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_30_2025,5,TANJUNG BALAI KARIMUN,2025-08-06 12:00:00,1.0,BATAM
KM KELUD,VOY_30_2025,6,BATAM,2025-08-06 16:00:00,4.0,TANJUNG PRIOK
KM KELUD,VOY_30_2025,7,TANJUNG PRIOK,2025-08-08 04:00:00,0.0,
KM KELUD,VOY_31_2025,1,TANJUNG PRIOK,2025-08-08 04:00:00,21.0,BATAM
KM KELUD,VOY_31_2025,2,BATAM,2025-08-10 09:00:00,4.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_31_2025,3,TANJUNG BALAI KARIMUN,2025-08-10 16:00:00,1.0,BELAWAN
KM KELUD,VOY_31_2025,4,BELAWAN,2025-08-11 16:00:00,21.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_31_2025,5,TANJUNG BALAI KARIMUN,2025-08-13 12:00:00,1.0,BATAM
KM KELUD,VOY_31_2025,6,BATAM,2025-08-13 16:00:00,4.0,TANJUNG PRIOK
KM KELUD,VOY_31_2025,7,TANJUNG PRIOK,2025-08-15 04:00:00,0.0,
KM KELUD,VOY_32_2025,1,TANJUNG PRIOK,2025-08-15 04:00:00,17.0,BATAM
KM KELUD,VOY_32_2025,2,BATAM,2025-08-17 05:00:00,5.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_32_2025,3,TANJUNG BALAI KARIMUN,2025-08-17 13:00:00,1.0,BELAWAN
KM KELUD,VOY_32_2025,4,BELAWAN,2025-08-18 13:00:00,24.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_32_2025,5,TANJUNG BALAI KARIMUN,2025-08-20 12:00:00,1.0,BATAM
KM KELUD,VOY_32_2025,6,BATAM,2025-08-20 16:00:00,4.0,TANJUNG PRIOK
KM KELUD,VOY_32_2025,7,TANJUNG PRIOK,2025-08-22 04:00:00,0.0,
KM PANGRANGO,VOY_16_2025,1,AMBON,2025-07-31 22:00:00,16.0,BANDA
KM PANGRANGO,VOY_16_2025,2,BANDA,2025-08-02 07:00:00,33.0,AMBON
KM PANGRANGO,VOY_16_2025,3,AMBON,2025-08-04 07:00:00,13.0,NAMROLE
KM PANGRANGO,VOY_16_2025,4,NAMROLE,2025-08-05 07:00:00,2.0,AMBON
KM PANGRANGO,VOY_16_2025,5,AMBON,2025-08-05 20:00:00,4.0,BANDA
KM PANGRANGO,VOY_16_2025,6,BANDA,2025-08-06 17:00:00,2.0,SAUMLAKI
KM PANGRANGO,VOY_16_2025,7,SAUMLAKI,2025-08-08 04:00:00,4.0,BANDA
KM PANGRANGO,VOY_16_2025,8,BANDA,2025-08-09 12:00:00,2.0,AMBON
KM PANGRANGO,VOY_16_2025,9,AMBON,2025-08-10 05:00:00,12.0,BANDA
KM PANGRANGO,VOY_16_2025,10,BANDA,2025-08-11 10:00:00,2.0,SAUMLAKI
KM PANGRANGO,VOY_16_2025,11,SAUMLAKI,2025-08-12 21:00:00,4.0,BANDA
KM PANGRANGO,VOY_16_2025,12,BANDA,2025-08-14 05:00:00,2.0,AMBON
KM PANGRANGO,VOY_16_2025,13,AMBON,2025-08-14 22:00:00,0.0,
KM PANGRANGO,VOY_17_2025,1,AMBON,2025-08-14 22:00:00,16.0,BANDA
KM PANGRANGO,VOY_17_2025,2,BANDA,2025-08-16 07:00:00,33.0,AMBON
KM PANGRANGO,VOY_17_2025,3,AMBON,2025-08-18 07:00:00,13.0,NAMROLE
KM PANGRANGO,VOY_17_2025,4,NAMROLE,2025-08-19 07:00:00,2.0,AMBON
KM PANGRANGO,VOY_17_2025,5,AMBON,2025-08-19 20:00:00,4.0,BANDA
KM PANGRANGO,VOY_17_2025,6,BANDA,2025-08-20 17:00:00,2.0,SAUMLAKI
KM PANGRANGO,VOY_17_2025,7,SAUMLAKI,2025-08-22 04:00:00,4.0,BANDA
KM PANGRANGO,VOY_17_2025,8,BANDA,2025-08-23 12:00:00,2.0,AMBON
KM PANGRANGO,VOY_17_2025,9,AMBON,2025-08-24 05:00:00,12.0,BANDA
KM PANGRANGO,VOY_17_2025,10,BANDA,2025-08-25 10:00:00,2.0,SAUMLAKI
KM PANGRANGO,VOY_17_2025,11,SAUMLAKI,2025-08-26 21:00:00,4.0,BANDA
KM PANGRANGO,VOY_17_2025,12,BANDA,2025-08-28 05:00:00,2.0,AMBON
KM PANGRANGO,VOY_17_2025,13,AMBON,2025-08-28 22:00:00,0.0,
KM WILIS,VOY_16_2025,1,BATULICIN,2025-07-29 15:00:00,29.0,MAKASSAR
KM WILIS,VOY_16_2025,2,MAKASSAR,2025-08-01 02:00:00,6.0,LABUAN BAJO
KM WILIS,VOY_16_2025,3,LABUAN BAJO,2025-08-02 08:00:00,1.0,BIMA
KM WILIS,VOY_16_2025,4,BIMA,2025-08-02 18:00:00,1.0,WAIKELO
KM WILIS,VOY_16_2025,5,WAIKELO,2025-08-03 06:00:00,1.0,WAINGAPU
KM WILIS,VOY_16_2025,6,WAINGAPU,2025-08-03 16:00:00,4.0,ENDE
KM WILIS,VOY_16_2025,7,ENDE,2025-08-04 07:00:00,2.0,KUPANG
KM WILIS,VOY_16_2025,8,KUPANG,2025-08-05 01:00:00,8.0,KALABAHI
KM WILIS,VOY_16_2025,9,KALABAHI,2025-08-06 02:00:00,12.0,KUPANG
KM WILIS,VOY_16_2025,10,KUPANG,2025-08-07 06:00:00,8.0,ENDE
KM WILIS,VOY_16_2025,11,ENDE,2025-08-08 06:00:00,2.0,WAINGAPU
KM WILIS,VOY_16_2025,12,WAINGAPU,2025-08-08 19:00:00,2.0,WAIKELO
KM WILIS,VOY_16_2025,13,WAIKELO,2025-08-09 06:00:00,1.0,BIMA
KM WILIS,VOY_16_2025,14,BIMA,2025-08-09 18:00:00,2.0,LABUAN BAJO
KM WILIS,VOY_16_2025,15,LABUAN BAJO,2025-08-10 05:00:00,1.0,MAKASSAR
KM WILIS,VOY_16_2025,16,MAKASSAR,2025-08-11 06:00:00,3.0,BATULICIN
KM WILIS,VOY_16_2025,17,BATULICIN,2025-08-12 15:00:00,0.0,
KM LAMBELU,VOY_16_2025,1,MAKASSAR,2025-08-06 03:00:00,8.0,PARE-PARE
KM LAMBELU,VOY_16_2025,2,PARE-PARE,2025-08-06 16:00:00,3.0,BALIKPAPAN
KM LAMBELU,VOY_16_2025,3,BALIKPAPAN,2025-08-07 11:00:00,2.0,TARAKAN
KM LAMBELU,VOY_16_2025,4,TARAKAN,2025-08-08 15:00:00,3.0,NUNUKAN
KM LAMBELU,VOY_16_2025,5,NUNUKAN,2025-08-09 00:00:00,3.0,PANTOLOAN
KM LAMBELU,VOY_16_2025,6,PANTOLOAN,2025-08-10 00:00:00,2.0,BALIKPAPAN
KM LAMBELU,VOY_16_2025,7,BALIKPAPAN,2025-08-10 15:00:00,2.0,PARE-PARE
KM LAMBELU,VOY_16_2025,8,PARE-PARE,2025-08-11 09:00:00,3.0,MAKASSAR
KM LAMBELU,VOY_16_2025,9,MAKASSAR,2025-08-11 17:00:00,3.0,BAU-BAU
KM LAMBELU,VOY_16_2025,10,BAU-BAU,2025-08-12 11:00:00,2.0,MAUMERE
KM LAMBELU,VOY_16_2025,11,MAUMERE,2025-08-13 02:00:00,2.0,LARANTUKA
KM LAMBELU,VOY_16_2025,12,LARANTUKA,2025-08-13 09:00:00,2.0,BAU-BAU
KM LAMBELU,VOY_16_2025,13,BAU-BAU,2025-08-13 23:00:00,2.0,MAKASSAR
KM LAMBELU,VOY_16_2025,14,MAKASSAR,2025-08-14 16:00:00,4.0,PARE-PARE
KM LAMBELU,VOY_16_2025,15,PARE-PARE,2025-08-15 01:00:00,5.0,BALIKPAPAN
KM LAMBELU,VOY_16_2025,16,BALIKPAPAN,2025-08-15 22:00:00,2.0,PANTOLOAN
KM LAMBELU,VOY_16_2025,17,PANTOLOAN,2025-08-16 13:00:00,2.0,TARAKAN
KM LAMBELU,VOY_16_2025,18,TARAKAN,2025-08-17 10:00:00,4.0,NUNUKAN
KM LAMBELU,VOY_16_2025,19,NUNUKAN,2025-08-17 20:00:00,3.0,BALIKPAPAN
KM LAMBELU,VOY_16_2025,20,BALIKPAPAN,2025-08-19 02:00:00,2.0,PARE-PARE
KM LAMBELU,VOY_16_2025,21,PARE-PARE,2025-08-19 20:00:00,2.0,MAKASSAR
KM LAMBELU,VOY_16_2025,22,MAKASSAR,2025-08-20 03:00:00,0.0,
